Username,Comment
@tipsofficial,These tough times like Quarrantine makes you realize who your true friends are! Mention & Share this song to your #Dost
@oppomobilesdik2865,❤❤❤❤
@niladrimali505,Any one from 1960 ?
@user-xe6my6bx9w,Anyone in 2025
@mimcreation1658,It’s 2024
@naseemfarooq5387,My uncle's old Computer Windows 7xp 2007 I listen this song on loud Speaker after School
@abrahamlincoln1946,"0:01 to 0:09 
= Tony Kurkure
And Neha Kurkure
Whole career"
@dipumorshed,😊😊😊😊
@ankitsehrawat7254,Salman bhai se jyada uss time handosome koi ni thaa...❤
@ayeshasiddika7149,Salman khan and Kriti sanon new movie 🍿🎥 published please 🙏🏾 in this year's Quekly 😢😢😢
@ayeshasiddika7149,Shaan benny dayal and Alka yanik new song published please 🙏🏾 in this year's Quekly 😢😢😢😢😢
@pritianita7882,I miss this Era & Vibe. My God. ❤❤
@user-vf4lm4ot1l,Movie name
@TIGER-NO.1,Jab Tak zindagi rahe ho tab tak sunu ga ye Gaana 🥺
@itsyoboyguddu5090,2024 main sun raha hu....still sound fresh...sukoon 😌❤️
@kunalhovale1831,Shreya Ghoshal voice ❤️🥰
@user-zt1bw1zo3r,🇮🇩🇮🇳❤🎉🔥💯🏑🏒🟣💽📀🎉🍏🍍
@user-rm7mp4jk3n,Yes
@kshitijnath6379,Damn i almost forgot about this song
@krishnamajumder,Shreya Ghoshal is our Emotion ❤❤❤
@karansoni5175,Anyone in 2031
@namalarahul4729,Love you bakery 😢
@Exam32236,June 2024❤❤
@karthikchary282,I like song I watch 2024
@kuldeepjain8642,Anyone in 2025😊😊
@dx3512,Salman Khan Was Looked Dashing In that Time 👍
@user-zs2mb9gi4h,13/06/24 rain 🌧️ started
@Nyaabbajgain4384,"I never forget this movie and songs, I saw this movie when I was in Sydney .. Lovely memories in this movie."
@asfandyarahmad7631,Facuil.
@yasershaikh4463,"Those days never come again when 90s kids has feel those era,that time, those golden days, and bollywood make film and songs❤️😢😭🙏👍👌"
@kingpro-vo4ku,"Neend nhi aati meri, it 3:47 am i still listening 🎧 this song, woh kya din yaar i miss my teenage era ❤ I was in class xth"
@asharnayeem3569,Anyone in 2024 Jun
@souvikdas6664,"Bhaijaan looks banger in this song, he looks banger always ❤️"
@MohadevAmarValobasha,Koi ha jo 2024 Ma Aya a wala ganna  ko payer dana
@rajni8607,Mera bhi 1 dost hai jo salman ki tarha hai  kindful  nature vishal
@abrarnadim00,It was probably the best time for Salman Khan to get married! 😜🙏
@aimanejaz1975,Katrina looks really beautiful in this song❤
@jafinhasanomar1037,Anyone in June 2024?
@user-iz7nr2is3d,This song make me cry ❤
@yilinglaozus,i was in highschool when this movie was released and my brother introduced me to this song. AND till this day this is still one of my (and my brother's) most favourite songs. i will forever be enamoured by this violin part- 3:32. it touches my soul.
@kashifroshan1846,Yes
@ritumondal6463,Salman looking so handsome ❤
@parthagarwal6225,Anyone in 2024 .?? ❤🎉
@shahrukhansari7866,"Anyone on june 9 ,2024?💐"
@Dettol_Sabun420,better CGI than Marvel
@imamuddinkhan2192,21 November.2008 me realise hui thi yeh movie jab se lekar aaj  9.june.2024 hai rozana sunta hu yeh song meri gf ki yaad bohat dilata hai
@YFZ83,Tu he to meri dost hai . Nice Song still listening in 2024
@poonams7349,Anyone watching 8june 24K
@labibamehek7395,❤❤❤❤
@therail.3978,I was In 6th standard ... that Awesome music on 9XM ❤❤❤
@gayatriojha6923,Is this song available on instagram?
@sachethanadivyani9682,❤❤
@JassVyas,❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊❤❤😊😊🥰😄😘🤩🤭☺️❤️🍓😍😍😍😍😍🍎🍎🤭😄😄😘😘🤩🤩🤩😒🌹🌹🌹🌹👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌🙋
@nehalpaul6786,"The simple times... our school times, the RPG games. I will always cherish those memories. This song makes me forget any stress. It is so soothing."
@deepak__2102,Salman Khan age was 43 But still looking too cool goodaamn
@user-nt8iy1pv2t,Who lost thier friends then. Come here?
@hamzasheikh2162,This song is so old but 19years old me still listen this song in 2024..
@shakshikc6731,I am here everyday!❤
@MathewPanicker1010,Apun bhi Bhai ka fan ❤
@anshika_srivastava,1:56 This part 🤌💕✨
@user-fw1hb4qf5u,Masterpiece ❤😊
@user-sp3nv1of6l,💋🚁❤️‍🩹
@uddiptasaikia8699,Salman Bhai ❤
@jyotisahu5280,Anyone in june 2024
@HarshitaSutradhar,Me 🫰♥️
@rajeshsemwal372,Super
@maheshchindhalore5470,June 2024 kon sun Raha hai
@p.m.8328,I m
@tuhinpaul4670,My childhood favourite song ❤
@62aeu,<33333
@mehru.,i was in 4th class when 1st time i listen this song ... time passes like a blink of an eye ...
@vintage_shreya,Anyone in 2025😄
@ranjeetadevi5649,"I listen this song when I , am 7 years old now I, am 16 many memories ❤❤❤❤"
@monaxp606,I like this song so much....but music part edited....how can someone be so non musical ?
@krishnendurouth1748,❤❤❤
@vaahbesh5475,In this song Salman didn't act it was clearly how he was when in love❤
@pradeepsengupta6129,"Yes l,am in 2024."
@yeshua2,ARR❤
@shivaninarayan1067,Tu hi toh meri dost h....SN
@shahbazsiddiqui6624,Pta ni kyu purane gane sunker ankhon me ansu aa jate h 9xm pe ye song ata tha hmesha sunte the mgr ab wh waqt wapis ni ayga 😭😭😭😭
@copystudio629.,2024 kon kon sun raha hai ❤my childhood song
@zahidabano9423,Pta nhi ye song mujhe bhut bhut bhut achi lgti h sach me ❤❤❤❤
@RajGupta-uz9kq,Kon kon sakti Or raghav ki chemistry dekh ke aaya hai😂
