Username,Comment
@yrf,"This time, it's the pros vs cons. Here's the #BuntyAurBabli2 title song - https://youtu.be/q_a_Gu5MOuY"
@rakshalsingh99,Bye. Unghva jau chu
@rakshalsingh99,Pagal jevu hoy che taru energy
@rakshalsingh99,And now I get my nachi in
@rakshalsingh99,Hmmmm. Yes I am thankful to my parents and my friends I accepted and they never left me nachi in all these years. Depression I told everything I shared and they always had warmth and best wishes for me
@rakshalsingh99,Nachiket that pic of Deepika dani all her friends sitting and she was bit fat nachi chi it showed so much scared feeling on her face nachi
@rakshalsingh99,Deepika dani chi mummy looks so graceful nachiket infront of her
@rakshalsingh99,4.30 cold coffee..neel cook..I don't know janu when to cook get my home back.
@rakshalsingh99,Sleeping 😴
@rakshalsingh99,Ranis muscles. Thankful god. Meena mummy jhansi ni rani mummy nirmala sitaraman
@PrachiGauhar,Came here after watching someone's reel
@ShirozeeHo,2025 ❤❤
@vj_fantasy4298,Rani really slay3d with those moves she was IT GIRL before the term even made
@Patatri555,❤❤❤🔥🔥🔥
@gagandeepsinghtalwar2498,Whats with these tacky outfits?
@pranavnaik1183,Bro watch it in 2x 😂
@ankitsrivastav1421,has any body watched did classical dance on this song?
@SnehaVisvasam,Yes I too hear this song 2025!!!🎉
@mohammed-gc7vo,مقتدى
@sahilkumarsahil2684,Shuru hote hi aisa laga jese apne bachoan m pahuch gya or rona bhi aa gya
@swapnilpandey4624,Omg What an energy Rani is amazing no one can beat I am big fan of her❤❤❤❤😊😊😊😊
@ArunKumar7,Dancing for sangeet to this song ! Thanks for the wonderful song.
@rohanrouth663,Me dekhi huyi life ki fast movie in senema hall 😢😢😢😢😢😢
@zakariyeAbdullahi-b1q,Who came from that tiktoker girl making fun of his dance 😂
@alkadadlani8593,Shiamak davar's choreography ❤❤❤
@soniprajapati09,2025 m bhi psnd aane wala song ❤
@khushpatil726,This song was a treat to watch on big screen.Rani outshines all others dancers included in this song
@आर्या-ध1य,OMG Rani 🔥🔥🔥🔥
@amiosun6tomraosuno296,Vibe 🔥
@ektasingh8291,2025😂😂
@roja292,25.01.2025
@bewaredevils123,Superb ever✨😊👌🏻
@harshalpatil8874,2025😂😂😂
@dhruvishah8754,2:22 the costume she ia wearing looks so elegant on her.. If it was for any actress from this generation they wouldn't be able to carry it!
@SkharunRasid-ji9ei,Rani to Nani hogaya
@DeubeyDubey-eg4cv,Sabhko fon m shikta m yha k dukhn  or m vhi shika khub ji vhrhke wahi te khub saghebor tu unhka ban ja m tarf se khub mhje koi
@DeubeyDubey-eg4cv,O bhulat vhi bholhke or keya haall jabse m kha apne yha or wo fon lhke hast pahle ese kiya
@DeubeyDubey-eg4cv,M to yh bhi kahi ushibrast ak hi din m sab bulat kaar sahdhi sapne mhje bhol karne k bhol or aajh yh ese jite mard dehkne kitna bekhar ushkobpakhdd k dudd k Maru o
@muhammadramzan-i8k4m,😊😊u i
@simmidhingra7572,Nashe m kon sun rhaa hai? Anyone
@Ri_ya_Mai_ty,Also in 2025 ❤😊
@BhawnaNegi-t2t,😊
@priyankareddy7408,Why is no one talking about Rani’s strapless tops holding up so well during these dance moves.?!
@anshu4629,why are they giving ross and monica vibes😂❤
@roshnimukherjee1343,Look Junior Bachchan is dancing😂
@shanebeard2044,I’m ShaneBeardDJ 🎉🎉🎉🎉 Love ❤️
@СенМен-г1т,❤💋💋💋💋👍🙏UZB
@ramangautam7460,2025 Anyone 😂
@pawscalling141,Rani Mukherjee has always been an amazing dancer. Loved their performance 🎉
@sunilchoudhary8909,My childhood memori bunty babli movie
@mohammed-gc7vo,علي اياد سالم و زين العابدين مرتضى لازم 😂😂😂😂😂😂😂😂
@mohammed-gc7vo,2005
